,cv_mean,cv_std,test_f1
logistic,0.2429258792629625,0.029979743134614243,0.1744160095223925
random_forest,0.2357581022706241,0.026218722800795013,0.1744160095223925
svm,0.17947785126154106,0.014102266675172807,0.14970788950588426
xgboost,0.2429258792629625,0.029979743134614243,0.1744160095223925
